KES, 2010-03-22, 421844125
MRU, 2010-03-02, 082959652
CLP, 2010-05-10, 210058212
DZD, 2010-05-31, 142701387
SLL, 2010-09-13, 880607188
PGK, 2010-01-04, 384095132
DJF, 2010-09-27, 829150319
MGB, 2010-05-07, 405960023
ZAR, 2010-01-11, 405784369
XDR, 2010-05-12, 964936137
MMK, 2010-05-31, 106191993
OMR, 2010-07-13, 618531048
ZAR, 2010-01-15, 675744534
DZD, 2010-05-17, 797440886
COP, 2010-04-16, 000425994
NIO, 2010-05-14, 833437741
BOB, 2010-05-17, 214767277
SZL, 2010-09-06, 99696523
SLL, 2010-11-03, 927036643
SBD, 2010-03-26, 049108148
LSL, 2010-05-14, 582738996
PGK, 2010-10-11, 943300664
PGK, 2010-08-03, 211187959
MRU, 2010-04-14, 449109972
PHP, 2010-11-10, 734185219
SAR, 2010-02-04, 360613286
SAR, 2010-10-29, 26187098
XPF, 2010-07-07, 37784338
JPY, 2010-03-25, 390364766
DJF, 2010-07-19, 318224669
IRR, 2010-09-07, 613417745
BOB, 2010-11-23, 038194001
CAD, 2010-06-11, 557069182
TRY, 2010-04-09, 423151076
LBP, 2010-06-18, 039837599
HTG, 2010-05-12, 779762506
CLP, 2010-11-25, 318540037
THB, 2010-02-08, 564653039
BOB, 2010-03-17, 436916947
DJF, 2010-10-20, 782233179
ALL, 2010-03-17, 106822371
SOS, 2010-09-22, 218907773
IRR, 2010-02-10, 326057732
SAR, 2010-09-03, 816320539
XDR, 2010-02-04, 259979308
CZK, 2010-01-20, 284168065
NIO, 2010-08-30, 620673239
SOS, 2010-07-28, 222581804
DJF, 2010-06-04, 540457785
GEL, 2010-04-16, 920746565
CAD, 2010-06-21, 217288494
CZK, 2010-10-22, 008203149
PGK, 2010-07-19, 59922713
VUV, 2010-05-06, 68448627
EGP, 2010-11-18, 303975463
LBP, 2010-06-11, 330611646
MMK, 2010-11-18, 920852244
SSP, 2010-04-20, 408744514
SGD, 2010-08-18, 81379509
AWG, 2010-10-22, 89004612
TTD, 2010-08-06, 788777411
MZN, 2010-04-22, 405660272
RON, 2010-08-17, 949614167
MXN, 2010-03-09, 046351612
JPY, 2010-08-13, 702601135
VUV, 2010-02-10, 767689288
VUV, 2010-02-26, 665787518
TTD, 2010-01-11, 862318039
ALL, 2010-11-25, 29351896
CAD, 2010-03-29, 564503908
CUP, 2010-06-09, 426113069
MRU, 2010-09-20, 155704975
MGB, 2010-06-01, 812931538
KES, 2010-11-15, 259917736
CUP, 2010-08-13, 618599057
SOS, 2010-04-27, 562057555
TTD, 2010-11-09, 420341969
XDR, 2010-01-04, 139849305
ZWL, 2010-05-17, 704822361
VUV, 2010-04-14, 169480205
GEL, 2010-01-07, 467412531
KES, 2010-10-25, 51948911
XOF, 2010-06-04, 279239774
VES, 2010-07-09, 864835322
NIO, 2010-09-30, 677859545
EGP, 2010-06-08, 922406733
AWG, 2010-07-01, 865900457
GIP, 2010-07-05, 644376695
UGX, 2010-08-30, 421798706
EUR, 2010-06-29, 928246439
TRY, 2010-06-28, 294346392
SBD, 2010-10-06, 601340771
VES, 2010-05-03, 855057001
MRO, 2010-01-11, 834177792
MMK, 2010-10-20, 771891117
SOS, 2010-05-13, 924579918
KES, 2010-08-31, 217766166
GIP, 2010-01-04, 098312438
WST, 2010-09-02, 822943568
EUR, 2010-07-19, 69634825
WST, 2010-11-19, 135177016
TRY, 2010-05-14, 964410424
KMF, 2010-11-23, 859392941
CZK, 2010-10-18, 781965137
SSP, 2010-02-16, 55349791
NIO, 2010-10-29, 553651154
ALL, 2010-05-07, 735532701
KMF, 2010-08-23, 406892717
AFN, 2010-02-08, 396912813
CAD, 2010-09-15, 079133153
JPY, 2010-06-23, 531870961
CVE, 2010-07-30, 609388292
SSP, 2010-09-27, 140975535
DZD, 2010-04-29, 473280072
COP, 2010-11-25, 266634822
SOS, 2010-07-12, 832221687
UGX, 2010-02-23, 279611468
ZWL, 2010-09-27, 964167118
OMR, 2010-07-14, 729540706
PEN, 2010-01-01, 931035697
SOS, 2010-05-24, 184114933
EGP, 2010-01-18, 270024776
BYN, 2010-04-06, 209664285
MMK, 2010-03-19, 168617666
XAU, 2010-11-11, 830551505
ARS, 2010-10-07, 96443069
DJF, 2010-03-04, 495227993
IRR, 2010-11-23, 38081032
MGA, 2010-04-07, 884739041
ZAR, 2010-11-04, 982070744
CAD, 2010-07-07, 074936628
COP, 2010-02-08, 701866031
PGK, 2010-07-27, 984978497
MRU, 2010-03-10, 651743531
AWG, 2010-08-27, 712642193
MGB, 2010-08-27, 54556936
MRO, 2010-10-20, 016128719
PGK, 2010-05-17, 278234601
CAD, 2010-07-05, 814171195
UYU, 2010-03-01, 725180387
MUR, 2010-07-26, 455206573
SAR, 2010-08-04, 478017807
MUR, 2010-06-23, 705874205
CVE, 2010-03-16, 957220137
SZL, 2010-05-06, 900994658
SSP, 2010-07-28, 354073882
WST, 2010-04-27, 86379